"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM91A1",-125.857177902732,4579.94315649615,-1.37430940859558,0.171616163983412,0.605760857105563,-4.47320483238914
"PDE4B",-140.454238918462,1765.74320438262,-1.37429795920974,0.171619708998922,0.605760857105563,-4.47321301895574
"NOTCH2",-475.488951665973,9560.48017305824,-1.37400056208795,0.171711809984428,0.605975303143293,-4.47342564161675
"TBX1",-13.2731470957708,123.523488586949,-1.37370047991064,0.171804780412303,0.606091629230663,-4.47364013919763
"HTT",-441.139090028122,20153.1634578394,-1.37363846174725,0.171823999414936,0.606091629230663,-4.47368446393631
"MFSD14A",-104.399709517257,3295.62974960976,-1.37330318344084,0.171927928029131,0.606091629230663,-4.47392405602702
"ACTR5",-55.1161557695727,1441.355999366,-1.37329594923685,0.171930170991143,0.606091629230663,-4.4739292250185
"DAPP1",-154.099044086855,1740.2520818953,-1.37321077696086,0.171956580285571,0.606091629230663,-4.47399008044336
"ST6GALNAC5",-4.28330394209483,53.8543492960748,-1.37318981422596,0.1719630806534,0.606091629230663,-4.4740050577212
"SGTB",-29.2446733265538,385.458643598085,-1.37318609247212,0.171964234757407,0.606091629230663,-4.47400771678554
"KPNA6",-213.402188610393,8831.94696741156,-1.37303787762838,0.172010200471933,0.606113864424479,-4.47411360554163
"CCDC190",-0.461625889812763,1.05836534250505,-1.37296356899418,0.172033249229108,0.606113864424479,-4.47416668954405
"MCOLN2",-117.005032541719,1351.88905035697,-1.37253762367374,0.172165412342338,0.606220058719146,-4.47447091973844
"ZNF75A",-65.5634063528109,2510.2746432383,-1.37250562210027,0.172175344951733,0.606220058719146,-4.47449377311027
"NKAIN1",0.748100735777955,9.29922029631099,1.37246965110881,0.172186510101698,0.606220058719146,-4.47451946056321
"YME1L1",-358.187273793143,14267.2581659952,-1.37246219711963,0.172188823837515,0.606220058719146,-4.47452478349378
"PKP1",-15.6812552491471,406.938991930938,-1.37223705690914,0.172258718972821,0.606226869225176,-4.47468554416088
"P3H1",-148.009653406716,2616.1898437868,-1.37213912283695,0.172289129457823,0.606226869225176,-4.47475546578264
"USHBP1",-23.6576950409763,312.233905745234,-1.37179411982825,0.172396292131114,0.606226869225176,-4.47500174813904
"LYPD3",-16.8252662559073,196.369640242963,-1.37178184028611,0.172400107254419,0.606226869225176,-4.47501051286475
"ROBO1",-217.546318119275,4692.28682291727,-1.37171364498845,0.172421295971002,0.606226869225176,-4.475059187013
"SLC16A1",-128.411774839984,2820.24137425559,-1.37162351172238,0.17244930397685,0.606226869225176,-4.47512351574485
"ORAI3",-114.142118322664,2533.98509161704,-1.3714584949661,0.172500590189921,0.606226869225176,-4.47524127882807
"HLA-E",-3853.85173326551,48620.8978228422,-1.37137870077045,0.172525393881778,0.606226869225176,-4.4752982185353
"TEX10",-63.2265703176406,1198.96159457067,-1.37133458593567,0.172539107951263,0.606226869225176,-4.47532969672583
"SECISBP2",-221.352304420649,9567.09529497007,-1.37121483243732,0.17257634012404,0.606226869225176,-4.47541514207181
