"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL20",522.585526654111,-1.56507487397685,0.474038296149293,-3.30157897935729,0.000961422633244708,0.0783323803292171
"BCL7A",159.530101165145,-0.809932448395705,0.245830364017387,-3.29468026308753,0.000985337238263909,0.079501408918371
"POGLUT1",227.810586197853,-0.375179359525401,0.113850342372343,-3.29537313377937,0.000982910733719321,0.079501408918371
"RYR1",14.1470814587622,-0.957186710046175,0.291174256242364,-3.28733289267663,0.00101141196113924,0.081211005826547
"AAMP",719.428357081868,0.547975805541345,0.166844362832149,3.28435313150271,0.00102216758271308,0.081537335605245
"FBXO5",77.0940792445668,-0.488712470830714,0.148839144600427,-3.28349421882738,0.00102528747617449,0.081537335605245
"CCDC120",62.1987268880992,1.11796018578516,0.341041525120287,3.27807643186809,0.00104517091397266,0.08272278933876
"LONRF2",14.2693898971815,-1.13519584791867,0.34717821465048,-3.26977845963498,0.00107631743406788,0.0847020676548712
"NHEJ1",286.516651502271,0.336484332036301,0.10294085873673,3.26871502885805,0.00108037051578321,0.0847020676548712
"SLC9A2",151.357652105436,0.7358950928467,0.22536871280828,3.26529394287628,0.00109350534639979,0.0853293538146053
"NDUFAF6",104.044552227338,-0.326296699167238,0.100125995368645,-3.2588609777698,0.00111860468361727,0.0868800394691712
"UBE2G2",764.427782757754,-0.349206849918491,0.107260432606547,-3.25569123144835,0.00113116692624735,0.087447095261196
"PIK3IP1",588.040562085734,-0.642895591867413,0.197817953990597,-3.2499355033162,0.00115431184595674,0.0885744055137613
"UBQLN1",941.247555586359,0.250331489986922,0.0770388299809922,3.24941967639807,0.00115640731583456,0.0885744055137613
"ENAM",11.9793750989067,1.92900084885945,0.593914930642224,3.24794132852249,0.00116243237594868,0.0885971400136418
"EXOG",84.3676513390722,-0.439066533130656,0.13528724044365,-3.24543934587488,0.00117269543366832,0.0885971400136418
"TMEM182",47.4942044825831,0.792443023850178,0.244154206973608,3.24566606356219,0.00117176200612428,0.0885971400136418
"BMI1",101.976057858277,1.51420520263411,0.467016166620295,3.24229718553881,0.00118570308501731,0.0887813922035305
"NBPF15",257.335424355219,-0.691437145616493,0.213306868162147,-3.24151374765342,0.00118896699266888,0.0887813922035305
"RGS4",10.9874376174291,1.16972481098568,0.361058150340117,3.23971307636678,0.001196500322098,0.0887813922035305
"ZNF528",63.5930121255516,-0.490061785808428,0.151240218527022,-3.24028747499375,0.00119409247864996,0.0887813922035305
"USPL1",168.509481562671,-0.308354773447682,0.0952614512933065,-3.23693130076581,0.00120822494457683,0.0892529191280507
"RBMX",2103.91649940294,-0.452701781223778,0.139956347491137,-3.23459270936208,0.00121816365217136,0.0895889294811509
"AFF3",151.92174720605,-0.788426252117377,0.244270706472411,-3.22767417961526,0.00124801035478869,0.0899166225917259
"BMP2",186.491230218419,0.505960225288084,0.156583764196029,3.231243212768,0.00123253015260046,0.0899166225917259
"MTMR4",627.750344710716,0.291394146629935,0.0903939961764818,3.22360066990542,0.00126589794154767,0.0899166225917259
"NEURL1B",993.228400458441,1.03753084865181,0.321442332048471,3.22773556936289,0.00124774257434791,0.0899166225917259
"PNN",724.120183135146,-0.29807342049758,0.0922706073311814,-3.2304265585651,0.00123605655299852,0.0899166225917259
"PTGER3",23.0776465022314,-0.771784689050324,0.239250175138376,-3.2258479585394,0.00125600059306975,0.0899166225917259
"SNX22",109.280903665451,-1.23475201639742,0.383009340679585,-3.22381698108605,0.00126494215685497,0.0899166225917259
"TSC22D4",279.092673172814,0.551336000924303,0.170990946044971,3.22435786032379,0.00126255516258419,0.0899166225917259
"EZH1",293.019112078136,-0.348967082712146,0.108311467686543,-3.22188490439506,0.00127350281194905,0.0900718733506602
"CHD8",649.546934267354,-0.302352045703234,0.0942899085939628,-3.2066214742581,0.001343035884474,0.0927583352807923
"CTSG",85.7734368823895,-0.826814782809373,0.257904782616235,-3.20589162566901,0.00134644688419507,0.0927583352807923
"DCP2",395.877026439507,-0.349249089950556,0.108816414963033,-3.20952578771506,0.00132954119802016,0.0927583352807923
